iter	Passed	Remaining
142	258	1548
143	259	1543
144	264	1562
145	266	1559
146	267	1555
147	269	1550
148	270	1545
149	271	1540
150	273	1536
151	274	1531
152	275	1526
153	279	1535
154	280	1530
155	282	1525
156	283	1520
157	284	1516
158	285	1511
159	287	1507
160	287	1500
161	289	1496
162	290	1493
163	293	1497
164	296	1498
165	297	1494
166	298	1490
167	300	1486
168	301	1483
169	303	1480
170	305	1478
171	309	1488
172	311	1489
173	312	1485
174	314	1481
175	315	1477
176	316	1472
177	318	1468
178	319	1464
179	320	1460
180	324	1467
181	326	1465
182	327	1463
183	329	1461
184	331	1459
185	332	1457
186	334	1455
187	340	1469
188	342	1468
189	344	1467
190	346	1466
191	347	1464
192	349	1462
193	351	1460
194	357	1474
195	358	1471
196	359	1467
197	361	1464
198	363	1461
199	364	1458
200	366	1456
201	371	1466
202	372	1463
203	374	1460
204	375	1457
205	377	1455
206	379	1452
207	380	1449
208	384	1455
209	387	1456
210	388	1453
211	390	1450
212	391	1447
213	393	1445
214	395	1443
215	397	1442
216	403	1456
217	405	1454
218	407	1452
219	409	1451
220	411	1449
221	413	1447
222	417	1454
223	419	1452
224	422	1456
225	424	1454
226	426	1452
227	428	1449
228	437	1474
229	442	1481
230	444	1479
231	449	1487
232	451	1484
233	452	1482
234	454	1480
235	456	1478
236	458	1474
237	459	1470
238	464	1479
239	466	1476
240	467	1472
241	469	1469
242	471	1467
243	476	1477
244	479	1476
245	480	1473
246	482	1469
247	483	1466
248	485	1463
249	487	1461
250	492	1468
251	493	1465
252	495	1463
253	497	1460
254	499	1457
255	500	1454
256	504	1459
257	506	1457
258	508	1455
259	510	1452
260	512	1450
261	514	1447
262	516	1446
263	519	1449
264	522	1450
265	524	1446
266	525	1443
267	527	1439
268	529	1438
269	530	1435
270	532	1433
271	538	1440
272	539	1436
273	541	1433
274	542	1430
275	544	1429
276	547	1428
277	550	1430
278	554	1432
279	556	1429
280	557	1426
281	558	1422
282	560	1419
283	561	1415
284	562	1411
285	564	1408
286	567	1409
287	568	1406
288	570	1402
289	571	1398
290	572	1395
291	573	1391
292	575	1389
293	577	1387
294	581	1390
295	583	1387
296	584	1384
297	586	1380
298	587	1378
299	589	1375
300	590	1372
301	592	1368
302	593	1365
303	597	1368
304	599	1366
305	600	1362
306	602	1359
307	603	1356
308	605	1353
309	606	1350
310	610	1352
311	611	1349
312	613	1345
313	614	1342
314	615	1339
315	617	1335
316	618	1332
317	619	1329
318	620	1325
319	625	1328
320	626	1325
321	628	1322
322	629	1319
323	630	1315
324	631	1312
325	633	1308
326	634	1305
327	635	1302
328	639	1305
329	641	1301
330	642	1298
331	643	1294
332	644	1291
333	646	1288
334	647	1285
335	648	1281
336	650	1278
337	651	1275
338	654	1275
339	656	1273
340	657	1270
341	658	1267
342	659	1264
343	661	1260
344	662	1257
345	663	1254
346	664	1251
347	666	1248
348	670	1250
349	671	1247
350	672	1244
351	674	1241
352	675	1238
353	676	1234
354	677	1231
355	679	1228
356	680	1225
357	681	1222
358	685	1223
359	686	1220
360	688	1217
361	689	1215
362	690	1212
363	691	1208
364	693	1205
365	694	1202
366	695	1199
367	696	1196
368	700	1198
369	702	1196
370	704	1193
371	705	1191
372	706	1188
373	708	1185
374	709	1182
375	711	1180
376	715	1183
377	717	1180
378	718	1177
379	719	1174
380	720	1171
381	722	1168
382	723	1165
383	724	1162
384	725	1159
385	730	1162
386	733	1161
387	734	1158
388	735	1155
389	737	1152
390	738	1149
391	739	1147
392	741	1145
393	742	1142
394	746	1143
395	748	1141
396	749	1138
397	750	1135
398	752	1132
399	753	1129
400	754	1127
401	756	1125
402	759	1125
403	761	1123
404	762	1120
405	763	1117
406	764	1114
407	766	1111
408	767	1109
409	768	1106
410	770	1103
411	771	1101
412	774	1101
413	776	1098
414	777	1095
415	778	1093
416	779	1090
417	781	1087
418	782	1085
419	784	1082
420	785	1080
421	786	1077
422	790	1077
423	792	1076
424	793	1073
425	795	1071
426	796	1068
427	797	1066
428	799	1063
429	800	1061
430	805	1062
431	806	1060
432	807	1057
433	808	1055
434	810	1052
435	811	1049
436	812	1046
437	813	1044
438	815	1041
439	816	1039
440	819	1039
441	821	1037
442	822	1034
443	824	1031
444	825	1029
445	826	1026
446	827	1024
447	829	1021
448	830	1018
449	831	1016
450	835	1016
451	837	1014
452	838	1012
453	839	1009
454	840	1007
455	842	1004
456	844	1003
457	845	1000
458	846	998
459	850	998
460	852	996
461	853	993
462	854	991
463	856	988
464	857	986
465	859	984
466	861	982
467	862	980
468	865	980
469	867	977
470	868	975
471	869	973
472	871	970
473	873	969
474	874	966
475	875	964
476	877	961
477	881	962
478	883	960
479	884	958
480	886	956
481	887	954
482	889	951
483	890	949
484	892	947
485	896	948
486	898	946
487	899	943
488	900	941
489	901	938
490	903	936
491	904	933
492	905	931
493	906	928
494	908	926
495	910	925
496	912	923
497	913	920
498	914	918
499	915	915
500	917	913
501	918	910
502	919	908
503	920	906
504	922	903
505	928	906
506	929	904
507	931	901
508	932	899
509	933	896
510	934	894
511	936	892
512	937	889
513	939	887
514	941	886
515	942	884
516	944	881
517	945	879
518	946	877
519	948	875
520	949	873
521	950	870
522	952	868
523	955	868
524	957	865
525	958	863
526	959	861
527	960	858
528	962	856
529	963	854
530	964	852
531	965	849
532	967	847
533	971	847
534	972	845
535	974	843
536	975	841
537	976	838
538	977	836
539	979	834
540	980	831
541	981	829
542	985	829
543	987	827
544	988	825
545	990	823
546	992	821
547	993	819
548	995	817
549	997	815
550	1001	816
551	1003	814
552	1005	813
553	1007	811
554	1009	809
555	1012	808
556	1017	809
557	1019	807
558	1020	805
559	1022	803
560	1023	800
561	1024	798
562	1025	796
563	1027	794
564	1028	792
565	1030	790
566	1031	788
567	1033	785
568	1034	783
569	1035	781
570	1036	779
571	1038	776
572	1039	774
573	1040	772
574	1043	771
575	1045	769
576	1046	767
577	1047	764
578	1048	762
579	1050	760
580	1051	758
581	1052	756
582	1053	753
583	1055	751
584	1056	749
585	1060	749
586	1062	747
587	1063	745
588	1064	743
589	1066	740
590	1067	738
591	1068	736
592	1069	734
593	1071	732
594	1075	732
595	1076	729
596	1078	727
597	1080	726
598	1081	723
599	1082	721
600	1084	719
601	1085	717
602	1087	715
603	1090	714
604	1091	712
605	1092	710
606	1093	708
607	1095	706
608	1096	703
609	1097	701
610	1098	699
611	1100	697
612	1101	695
613	1104	694
614	1108	693
615	1109	691
616	1110	689
617	1112	687
618	1113	685
619	1114	683
620	1115	681
621	1120	681
622	1121	678
623	1123	676
624	1124	674
625	1125	672
626	1126	670
627	1128	668
628	1129	666
629	1131	664
630	1132	662
631	1135	661
632	1136	658
633	1137	656
634	1139	654
635	1140	652
636	1141	650
637	1143	648
638	1144	646
639	1146	644
640	1149	643
641	1151	642
642	1153	640
643	1154	638
644	1156	636
645	1158	634
646	1159	632
647	1161	630
648	1162	628
649	1166	628
650	1168	626
651	1169	624
652	1171	622
653	1172	620
654	1173	618
655	1175	616
656	1176	614
657	1181	614
658	1182	612
659	1183	609
660	1185	607
661	1186	605
662	1187	603
663	1189	601
664	1190	599
665	1194	599
666	1197	597
667	1199	595
668	1200	593
669	1201	591
670	1202	589
671	1204	587
672	1205	585
673	1206	583
674	1211	583
675	1212	581
676	1213	579
677	1214	577
678	1216	574
679	1217	572
680	1218	570
681	1219	568
682	1221	566
683	1222	564
684	1225	563
685	1226	561
686	1227	559
687	1229	557
688	1230	555
689	1231	553
690	1232	551
691	1233	549
692	1235	547
693	1236	545
694	1239	544
695	1242	542
696	1243	540
697	1244	538
698	1246	536
699	1248	535
700	1249	533
701	1251	531
702	1255	530
703	1256	528
704	1258	526
705	1260	524
706	1261	522
707	1263	520
708	1264	519
709	1266	517
710	1267	515
711	1270	513
712	1272	512
713	1273	510
714	1274	508
715	1275	506
716	1277	504
717	1278	502
718	1279	500
719	1281	498
720	1285	497
721	1287	495
722	1288	493
723	1289	491
724	1291	489
725	1292	487
726	1294	485
727	1295	483
728	1296	481
729	1299	480
730	1301	479
731	1303	477
732	1304	475
733	1305	473
734	1306	471
735	1308	469
736	1309	467
737	1310	465
738	1312	463
739	1316	462
740	1317	460
741	1318	458
742	1319	456
743	1323	455
744	1324	453
745	1325	451
746	1326	449
747	1329	448
748	1332	446
749	1333	444
750	1334	442
751	1336	440
752	1337	438
753	1338	436
754	1339	434
755	1340	432
756	1342	430
757	1346	430
758	1348	428
759	1349	426
760	1350	424
761	1351	422
762	1353	420
763	1354	418
764	1355	416
765	1357	414
766	1360	413
767	1362	411
768	1363	409
769	1364	407
770	1366	405
771	1367	403
772	1369	402
773	1370	400
774	1372	398
775	1375	397
776	1377	395
777	1379	393
778	1380	391
779	1381	389
780	1382	387
781	1383	385
782	1385	383
783	1386	382
784	1391	381
785	1393	379
786	1394	377
787	1396	375
788	1397	373
789	1398	371
790	1399	369
791	1400	367
792	1402	366
793	1403	364
794	1408	363
795	1409	361
796	1410	359
797	1411	357
798	1413	355
799	1414	353
800	1415	351
801	1417	349
802	1418	347
803	1422	346
804	1423	344
805	1425	343
806	1426	341
807	1428	339
808	1429	337
809	1430	335
810	1431	333
811	1433	331
812	1437	330
813	1440	329
814	1441	327
815	1442	325
816	1444	323
817	1445	321
818	1446	319
819	1447	317
820	1448	315
821	1452	314
822	1453	312
823	1455	310
824	1456	308
825	1457	307
826	1459	305
827	1460	303
828	1462	301
829	1463	299
830	1466	298
831	1468	296
832	1470	294
833	1471	292
834	1472	291
835	1473	289
836	1475	287
837	1476	285
838	1478	283
839	1479	281
840	1483	280
841	1485	278
842	1486	276
843	1487	275
844	1489	273
845	1490	271
846	1491	269
847	1492	267
848	1494	265
849	1497	264
850	1499	262
851	1500	260
852	1501	258
853	1502	256
854	1504	255
855	1505	253
856	1506	251
857	1507	249
858	1509	247
859	1512	246
860	1514	244
861	1516	242
862	1517	240
863	1518	239
864	1519	237
865	1521	235
866	1522	233
867	1523	231
868	1525	229
869	1527	228
870	1528	226
871	1529	224
872	1530	222
873	1532	220
874	1533	219
875	1534	217
876	1535	215
877	1537	213
878	1541	212
879	1542	210
880	1543	208
881	1544	206
882	1546	204
883	1547	203
884	1548	201
885	1550	199
886	1551	197
887	1552	195
888	1557	194
889	1558	192
890	1560	190
891	1561	189
892	1563	187
893	1564	185
894	1566	183
895	1572	182
896	1573	180
897	1574	178
898	1576	177
899	1577	175
900	1579	173
901	1580	171
902	1582	169
903	1583	168
904	1587	166
905	1589	164
906	1590	163
907	1592	161
908	1593	159
909	1594	157
910	1596	155
911	1597	154
912	1599	152
913	1603	150
914	1604	149
915	1605	147
916	1607	145
917	1608	143
918	1609	141
919	1610	140
920	1612	138
921	1613	136
922	1617	134
923	1618	133
924	1620	131
925	1621	129
926	1622	127
927	1624	126
928	1625	124
929	1626	122
930	1627	120
931	1631	119
932	1632	117
933	1634	115
934	1635	113
935	1636	111
936	1637	110
937	1639	108
938	1640	106
939	1641	104
940	1642	103
941	1646	101
942	1649	99
943	1651	97
944	1652	96
945	1653	94
946	1655	92
947	1656	90
948	1658	89
949	1663	87
950	1665	85
951	1667	84
952	1668	82
953	1669	80
954	1673	78
955	1675	77
956	1676	75
957	1678	73
958	1679	71
959	1680	70
960	1681	68
961	1683	66
962	1684	64
963	1688	63
964	1691	61
965	1692	59
966	1693	57
967	1694	56
968	1696	54
969	1697	52
970	1698	50
971	1700	48
972	1703	47
973	1704	45
974	1706	43
975	1707	41
976	1708	40
977	1709	38
978	1711	36
979	1712	34
980	1714	33
981	1718	31
982	1719	29
983	1721	27
984	1722	26
985	1726	24
986	1728	22
987	1729	21
988	1730	19
989	1732	17
990	1734	15
991	1735	13
992	1736	12
993	1738	10
994	1739	8
995	1741	6
996	1742	5
997	1745	3
998	1747	1
999	1748	0
